year,month,val
2012,8,0.083
2012,9,0.221
2012,10,0.236
2012,11,0.18
2012,12,0.131
2013,1,0.454
2013,2,0.127
2013,3,0.097
2013,4,0.049
2013,5,0.003
2013,6,0.2
2013,7,0.033
2013,8,0.04
2013,9,0.213
2013,10,0.184
2013,11,0.048
2013,12,0.132
2014,1,0.2
2014,2,0.134
2014,3,0.088
2014,4,0.107
2014,5,0.246
2014,6,0.251
2014,7,0.212
2014,8,0.058
2014,9,0.147
2014,10,0.242
2014,11,0.233
2014,12,0.222
2015,1,0.294
2015,2,0.186
2015,3,0.171
2015,4,0.083
2015,5,0.268
2015,6,0.309
2015,7,0.153
2015,8,0.244
2015,9,0.228
2015,10,0.41
2015,11,0.325
2015,12,0.448
2016,1,0.539
2016,2,0.831
2016,3,0.732
2016,4,0.713
2016,5,0.544
2016,6,0.337
2016,7,0.388
2016,8,0.434
2016,9,0.44
2016,10,0.407
2016,11,0.452
2016,12,0.243
