year,month,val
1957,4,-0.02
1957,5,0.11
1957,6,0.16
1957,7,0.06
1957,8,0.13
1957,9,0.07
1957,10,0.01
1957,11,0.13
1957,12,0.23
1958,1,0.3
1958,2,0.21
1958,3,0.12
1958,4,0.11
1958,5,0.1
1958,6,0.06
1958,7,0.06
1958,8,0.05
1958,9,0.02
1958,10,0.04
1958,11,0.09
1958,12,0.15
1959,1,0.13
1959,2,0.07
1959,3,0.2
1959,4,0.12
1959,5,0.03
1959,6,0.08
1959,7,0.07
1959,8,0.05
1959,9,0.1
1959,10,-0.01
1959,11,-0.08
1959,12,-0.03
1960,1,0
1960,2,0.19
1960,3,-0.2
1960,4,-0.1
1960,5,-0.08
1960,6,0.08
1960,7,0.03
1960,8,0.05
1960,9,0.06
1960,10,0.04
1960,11,-0.05
1960,12,0.23
1961,1,0.12
1961,2,0.18
1961,3,0.16
1961,4,0.13
1961,5,0.16
1961,6,0.15
1961,7,0.04
1961,8,0.03
1961,9,0
1961,10,-0.04
1961,11,0.02
1961,12,-0.02
1962,1,0.13
1962,2,0.17
1962,3,0.12
1962,4,0.08
1962,5,0.06
1962,6,0.06
1962,7,0.09
1962,8,0.06
1962,9,0.06
1962,10,0.08
1962,11,0.07
1962,12,0.09
1963,1,0.04
1963,2,0.26
1963,3,-0.02
1963,4,0
1963,5,0.01
1963,6,0.05
1963,7,0.14
1963,8,0.16
1963,9,0.16
1963,10,0.21
1963,11,0.19
1963,12,0.08
1964,1,0.05
1964,2,-0.1
1964,3,-0.14
1964,4,-0.18
1964,5,-0.1
1964,6,-0.09
1964,7,-0.11
1964,8,-0.17
1964,9,-0.21
1964,10,-0.27
1964,11,-0.2
1964,12,-0.27
1965,1,-0.07
1965,2,-0.2
1965,3,-0.1
1965,4,-0.19
1965,5,-0.08
1965,6,-0.04
1965,7,-0.08
1965,8,-0.05
1965,9,-0.05
1965,10,0.02
1965,11,-0.09
1965,12,-0.01
1966,1,-0.05
1966,2,-0.04
1966,3,0
1966,4,-0.09
1966,5,-0.04
1966,6,0.06
1966,7,0.07
1966,8,0.02
1966,9,0.03
1966,10,-0.06
1966,11,-0.05
1966,12,-0.12
1967,1,-0.11
1967,2,-0.17
1967,3,0
1967,4,0.01
1967,5,0.12
1967,6,-0.03
1967,7,-0.02
1967,8,-0.01
1967,9,-0.03
1967,10,0.13
1967,11,-0.02
1967,12,-0.04
1968,1,-0.19
1968,2,-0.13
1968,3,0.15
1968,4,-0.07
1968,5,-0.08
1968,6,-0.02
1968,7,-0.02
1968,8,-0.01
1968,9,-0.01
1968,10,0.05
1968,11,0.02
1968,12,-0.04
1969,1,-0.13
1969,2,-0.1
